"id","message"
"6720","Unable to parse birth date: February 31, 1929"
"6746","Unable to parse birth date: February 31, 1930"
"6859","Unable geocode birth place: Erinstwalda, GERMANY"
"6867","Unable to parse birth date: February 29, 1955"
"6944","Unable to parse birth date: February 29, 1903"
"6955","Unable to parse death year: 19??"
"7228","Unable to parse obituary month: ?"
"7228","Unable to parse obituary year: ?"
"7273","Unable to parse birth date: February 31, 1844"
"7296","Unable geocode birth place: Rursden, ENG"
"7577","Unable to parse birth date: February 30, 1924"
"7600","Unable geocode birth place: Borsbull, GERMANY"
"7709","Unable geocode birth place: Hinterneiligen, GERMANY"
"7750","Unable to parse obituary month: ?"
"7804","Unable to parse death date: February 015, 1898"
"7902","Unable to parse obituary month: ?"
"8155","Unable to parse birth date: April 31, 1856"
"8257","Unable to parse obituary year: 11"
"8272","Unable to parse birth month: 98"
"8461","Unable to parse birth date: February 31, 1887"
"8845","Unable to parse birth date: September 31, 1919"
"9143","Unable to parse birth date: February 30, 1873"
"9637","Unable to parse birth date: November 31, 1968"
"9712","Unable to parse birth date: June 31, 1882"
"9908","Unable to parse obituary month: ?"
"9908","Unable to parse obituary year: ?"
"10012","Unable to parse obituary month: ?"
"10012","Unable to parse obituary year: ?"
"10130","Unable to parse death date: September 119, 1894"
"10149","Unable to parse death date: May 028, 1922"
"10150","Unable to parse birth date: November 028, 1883"
"10310","Unable to parse birth month: May"
"10325","Unable to parse birth date: February 30, 1851"
"10407","Unable to parse birth date: June 31, 1883"
"10526","Unable to parse birth date: February 29, 1910"
"10722","Unable to parse obituary month: ?"
"10722","Unable to parse obituary year: ?"
"10732","Unable to parse birth date: June 31, 1863"
"10930","Unable geocode death place: Amhurtsbury, CANANDA"
"11000","Unable to parse obituary month: ?"
"11000","Unable to parse obituary year: ?"
"11253","Unable to parse death date: March 026, 1951"
"11300","Unable to parse obituary month: ?"
"11391","Unable to parse birth date: November 31, 1918"
"11451","Unable to parse birth date: February 31, 1837"
"11611","Unable to parse birth date: February 31, 1895"
"11704","Unable to parse birth date: February 29, 1939"
"12155","Unable to parse birth date: February 29, 1910"
"12364","Unable to parse obituary month: ?"
"12402","Unable geocode birth place: Barreltown Settlement, WI"
"12526","Unable to parse obituary month: ?"
"12644","Unable to parse birth date: November 31, 1926"
"12662","Unable to parse birth date: September 31, 1922"
"12679","Unable geocode birth place: Manaccen, ENG"
"12687","Unable to parse birth date: April 31, 1914"
"12848","Unable geocode death place: Waupella, "
"12979","Unable to parse obituary month: ?"
"13208","Unable to parse birth month: "
"13406","Unable to parse birth date: February 31, 1883"
"13499","Unable geocode birth place: Oberdowven, GERMANY"
"13500","Unable geocode birth place: Oberdowven, GERMANY"
"13559","Unable to parse death date: May 113, 1926"
"13899","Unable to parse obituary month: ?"
"13899","Unable to parse obituary year: ?"
"14000","Unable to parse obituary month: ?"
"14105","Unable to parse birth date: February 31, 1927"
"14255","Unable to parse obituary month: ?"
"14458","Unable to parse birth date: February 30, 1935"
"14463","Unable to parse birth date: November 31, 1860"
"14525","Unable to parse death month: 21"
"14713","Unable geocode birth place: Hogoten, CANADA"
"14761","Unable to parse obituary month: ?"
"14761","Unable to parse obituary year: ?"
"14937","Unable to parse birth date: November 31, 1878"
"14938","Unable to parse birth date: June 31, 1909"
"14962","Unable to parse obituary date: February 10D, 1966"
"14971","Unable to parse death month: 1002"
"15200","Unable to parse birth date: November 31, 1930"
"15332","Unable to parse birth month: 92"
"15433","Unable to parse birth date: February 30, 1905"
"15454","Unable geocode birth place: Rafile, GERM"
"15502","Unable to parse birth date: February 30, 1939"
"15985","Unable to parse birth month: 0"
"15996","Unable to parse birth date: February 31, 1900"
"16001","Unable to parse obituary year: 199"
"16302","Unable to parse obituary month: ?"
"16302","Unable to parse obituary year: ?"
